month,vtuber,avg_viewers
2026-03-01,tremchan,12
2019-01-01,pandochka_7,7
2019-02-01,pandochka_7,9
2019-03-01,pandochka_7,8
2019-04-01,pandochka_7,7
2019-06-01,pandochka_7,7
2019-07-01,pandochka_7,7
2019-12-01,pandochka_7,7
2020-01-01,pandochka_7,6
2020-04-01,pandochka_7,6
2020-05-01,pandochka_7,8
2020-06-01,pandochka_7,10
2020-07-01,pandochka_7,9
2020-08-01,pandochka_7,10
2020-09-01,pandochka_7,10
2020-10-01,pandochka_7,10
2020-11-01,pandochka_7,9
2020-12-01,pandochka_7,13
2021-01-01,pandochka_7,13
2021-02-01,pandochka_7,14
2021-03-01,pandochka_7,16
2021-04-01,pandochka_7,24
2021-05-01,pandochka_7,27
2021-06-01,pandochka_7,21
2021-07-01,pandochka_7,23
2021-08-01,pandochka_7,21
2021-09-01,pandochka_7,24
2021-10-01,pandochka_7,25
2021-11-01,pandochka_7,29
2021-12-01,pandochka_7,29
2022-01-01,pandochka_7,24
2022-02-01,pandochka_7,23
2022-03-01,pandochka_7,21
2022-04-01,pandochka_7,23
2022-05-01,pandochka_7,27
2022-06-01,pandochka_7,19
2022-07-01,pandochka_7,20
2022-08-01,pandochka_7,22
2022-09-01,pandochka_7,19
2022-10-01,pandochka_7,25
2022-11-01,pandochka_7,31
2022-12-01,pandochka_7,35
2023-01-01,pandochka_7,32
2023-02-01,pandochka_7,28
2023-03-01,pandochka_7,30
2023-04-01,pandochka_7,29
2023-05-01,pandochka_7,29
2023-06-01,pandochka_7,23
2023-07-01,pandochka_7,29
2023-08-01,pandochka_7,31
2023-09-01,pandochka_7,21
2023-10-01,pandochka_7,20
2023-11-01,pandochka_7,24
2023-12-01,pandochka_7,28
2024-01-01,pandochka_7,23
2024-02-01,pandochka_7,24
2024-03-01,pandochka_7,26
2024-04-01,pandochka_7,32
2024-05-01,pandochka_7,31
2024-06-01,pandochka_7,31
2024-07-01,pandochka_7,23
2024-08-01,pandochka_7,25
2024-10-01,pandochka_7,25
